nominees,details,award_show,year,award,winner,ref_year
Neil Patrick Harris,How I Met Your Mother,Golden Globes,2010,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
William Hurt,Damages,Golden Globes,2010,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
Chloë Sevigny,Big Love,Golden Globes,2010,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,11
Jane Adams,Hung,Golden Globes,2010,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
Jane Lynch,Glee,Golden Globes,2010,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
Janet McTeer,Into the Storm,Golden Globes,2010,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
Rose Byrne,Damages,Golden Globes,2010,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
Kevin Bacon,Taking Chance,Golden Globes,2010,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,1,11
Brendan Gleeson,Into the Storm,Golden Globes,2010,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,11
Chiwetel Ejiofor,Endgame,Golden Globes,2010,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,11
Jeremy Irons,Georgia O'Keeffe,Golden Globes,2010,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,11
Kenneth Branagh,Wallander,Golden Globes,2010,Best Performance by an Actor in a Miniseries or a Motion Picture Made for Television,0,11
Drew Barrymore,Grey Gardens,Golden Globes,2010,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,1,11
Anna Paquin,The Courageous Heart of Irena Sendler,Golden Globes,2010,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,11
Jessica Lange,Grey Gardens,Golden Globes,2010,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,11
Joan Allen,Georgia O'Keeffe,Golden Globes,2010,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,11
Sigourney Weaver,Prayers for Bobby,Golden Globes,2010,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,11
Up,,Golden Globes,2010,Best Animated Feature Film,1,11
Cloudy with a Chance of Meatballs,,Golden Globes,2010,Best Animated Feature Film,0,11
Coraline,,Golden Globes,2010,Best Animated Feature Film,0,11
Fantastic Mr. Fox,,Golden Globes,2010,Best Animated Feature Film,0,11
The Princess and the Frog,,Golden Globes,2010,Best Animated Feature Film,0,11
The White Ribbon,,Golden Globes,2010,Best Foreign Language Film,1,11
A Prophet,,Golden Globes,2010,Best Foreign Language Film,0,11
Baarìa,,Golden Globes,2010,Best Foreign Language Film,0,11
Broken Embraces,,Golden Globes,2010,Best Foreign Language Film,0,11
The Maid,,Golden Globes,2010,Best Foreign Language Film,0,11
Grey Gardens,,Golden Globes,2010,Best Miniseries or Motion Picture Made for Television,1,11
Georgia O'Keeffe,,Golden Globes,2010,Best Miniseries or Motion Picture Made for Television,0,11
Into the Storm,,Golden Globes,2010,Best Miniseries or Motion Picture Made for Television,0,11
Little Dorrit,,Golden Globes,2010,Best Miniseries or Motion Picture Made for Television,0,11
Taking Chance,,Golden Globes,2010,Best Miniseries or Motion Picture Made for Television,0,11
Slumdog Millionaire,,Golden Globes,2009,Best Motion Picture - Drama,1,12
Frost/Nixon,,Golden Globes,2009,Best Motion Picture - Drama,0,12
Revolutionary Road,,Golden Globes,2009,Best Motion Picture - Drama,0,12
The Curious Case of Benjamin Button,,Golden Globes,2009,Best Motion Picture - Drama,0,12
The Reader,,Golden Globes,2009,Best Motion Picture - Drama,0,12
Vicky Cristina Barcelona,,Golden Globes,2009,Best Motion Picture - Comedy or Musical,1,12
Burn After Reading,,Golden Globes,2009,Best Motion Picture - Comedy or Musical,0,12
Happy-Go-Lucky,,Golden Globes,2009,Best Motion Picture - Comedy or Musical,0,12
In Bruges,,Golden Globes,2009,Best Motion Picture - Comedy or Musical,0,12
Mamma Mia!,,Golden Globes,2009,Best Motion Picture - Comedy or Musical,0,12
Mickey Rourke,The Wrestler,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Drama,1,12
Brad Pitt,The Curious Case of Benjamin Button,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Drama,0,12
Frank Langella,Frost/Nixon,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Drama,0,12
Leonardo DiCaprio,Revolutionary Road,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Drama,0,12
Sean Penn,Milk,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Drama,0,12
Kate Winslet,Revolutionary Road,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Drama,1,12
Angelina Jolie,Changeling,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Drama,0,12
Anne Hathaway,Rachel Getting Married,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Drama,0,12
Kristin Scott Thomas,I've Loved You So Long,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Drama,0,12
Meryl Streep,Doubt,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Drama,0,12
Colin Farrell,In Bruges,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Comedy or Musical,1,12
Brendan Gleeson,In Bruges,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,12
Dustin Hoffman,Last Chance Harvey,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,12
James Franco,Pineapple Express,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,12
Javier Bardem,Vicky Cristina Barcelona,Golden Globes,2009,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,12
Sally Hawkins,Happy-Go-Lucky,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Comedy or Musical,1,12
Emma Thompson,Last Chance Harvey,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,12
Frances McDormand,Burn After Reading,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,12
Meryl Streep,Mamma Mia!,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,12
Rebecca Hall,Vicky Cristina Barcelona,Golden Globes,2009,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,12
Heath Ledger,The Dark Knight,Golden Globes,2009,Best Performance by an Actor in a Supporting Role in a Motion Picture,1,12
Philip Seymour Hoffman,Doubt,Golden Globes,2009,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,12
Ralph Fiennes,The Duchess,Golden Globes,2009,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,12
Robert Downey Jr.,Tropic Thunder,Golden Globes,2009,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,12
Tom Cruise,Tropic Thunder,Golden Globes,2009,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,12
Kate Winslet,The Reader,Golden Globes,2009,Best Performance by an Actress in a Supporting Role in a Motion Picture,1,12
Amy Adams,Doubt,Golden Globes,2009,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,12
Marisa Tomei,The Wrestler,Golden Globes,2009,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,12
Penélope Cruz,Vicky Cristina Barcelona,Golden Globes,2009,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,12
Viola Davis,Doubt,Golden Globes,2009,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,12
Danny Boyle,Slumdog Millionaire,Golden Globes,2009,Best Director - Motion Picture,1,12
David Fincher,The Curious Case of Benjamin Button,Golden Globes,2009,Best Director - Motion Picture,0,12
Ron Howard,Frost/Nixon,Golden Globes,2009,Best Director - Motion Picture,0,12
Sam Mendes,Revolutionary Road,Golden Globes,2009,Best Director - Motion Picture,0,12
Stephen Daldry,The Reader,Golden Globes,2009,Best Director - Motion Picture,0,12
Slumdog Millionaire,Simon Beaufoy,Golden Globes,2009,Best Screenplay - Motion Picture,1,12
Doubt,John Patrick Shanley,Golden Globes,2009,Best Screenplay - Motion Picture,0,12
Frost/Nixon,Peter Morgan,Golden Globes,2009,Best Screenplay - Motion Picture,0,12
The Curious Case of Benjamin Button,"Eric Roth, Robin Swicord",Golden Globes,2009,Best Screenplay - Motion Picture,0,12
The Reader,David Hare,Golden Globes,2009,Best Screenplay - Motion Picture,0,12
The Wrestler,Bruce Springsteen (music/lyrics),Golden Globes,2009,Best Original Song - Motion Picture,1,12
Bolt,"Miley Cyrus (music/lyrics), Jeffrey Steele (music/lyrics)",Golden Globes,2009,Best Original Song - Motion Picture,0,12
Cadillac Records,"Beyoncé (music/lyrics), Amanda Ghost (music/lyrics), Scott McFarnon (music/lyrics), Ian Dench (music/lyrics), James Dring (music/lyrics), Jody Street (music/lyrics)",Golden Globes,2009,Best Original Song - Motion Picture,0,12
Gran Torino,"Clint Eastwood (music), Jamie Cullum (music), Kyle Eastwood (music/lyrics), Michael Stevens (music/lyrics)",Golden Globes,2009,Best Original Song - Motion Picture,0,12
WALL·E,"Peter Gabriel (music/lyrics), Thomas Newman (music)",Golden Globes,2009,Best Original Song - Motion Picture,0,12
Slumdog Millionaire,A.R. Rahman,Golden Globes,2009,Best Original Score - Motion Picture,1,12
Changeling,Clint Eastwood,Golden Globes,2009,Best Original Score - Motion Picture,0,12
Defiance,James Newton Howard,Golden Globes,2009,Best Original Score - Motion Picture,0,12
Frost/Nixon,Hans Zimmer,Golden Globes,2009,Best Original Score - Motion Picture,0,12
The Curious Case of Benjamin Button,Alexandre Desplat,Golden Globes,2009,Best Original Score - Motion Picture,0,12
Mad Men,,Golden Globes,2009,Best Television Series - Drama,1,12
Dexter,,Golden Globes,2009,Best Television Series - Drama,0,12
House,,Golden Globes,2009,Best Television Series - Drama,0,12
In Treatment,,Golden Globes,2009,Best Television Series - Drama,0,12
True Blood,,Golden Globes,2009,Best Television Series - Drama,0,12
30 Rock,,Golden Globes,2009,Best Television Series - Comedy or Musical,1,12
Californication,,Golden Globes,2009,Best Television Series - Comedy or Musical,0,12
Entourage,,Golden Globes,2009,Best Television Series - Comedy or Musical,0,12
The Office,,Golden Globes,2009,Best Television Series - Comedy or Musical,0,12
Weeds,,Golden Globes,2009,Best Television Series - Comedy or Musical,0,12
Gabriel Byrne,In Treatment,Golden Globes,2009,Best Performance by an Actor in a Television Series - Drama,1,12
Hugh Laurie,House,Golden Globes,2009,Best Performance by an Actor in a Television Series - Drama,0,12
Jon Hamm,Mad Men,Golden Globes,2009,Best Performance by an Actor in a Television Series - Drama,0,12
Jonathan Rhys Meyers,The Tudors,Golden Globes,2009,Best Performance by an Actor in a Television Series - Drama,0,12
Michael C. Hall,Dexter,Golden Globes,2009,Best Performance by an Actor in a Television Series - Drama,0,12
Anna Paquin,True Blood,Golden Globes,2009,Best Performance by an Actress in a Television Series - Drama,1,12
January Jones,Mad Men,Golden Globes,2009,Best Performance by an Actress in a Television Series - Drama,0,12
Kyra Sedgwick,The Closer,Golden Globes,2009,Best Performance by an Actress in a Television Series - Drama,0,12
Mariska Hargitay,Law & Order: Special Victims Unit,Golden Globes,2009,Best Performance by an Actress in a Television Series - Drama,0,12
Sally Field,Brothers & Sisters,Golden Globes,2009,Best Performance by an Actress in a Television Series - Drama,0,12
Alec Baldwin,30 Rock,Golden Globes,2009,Best Performance by an Actor in a Television Series - Comedy or Musical,1,12
David Duchovny,Californication,Golden Globes,2009,Best Performance by an Actor in a Television Series - Comedy or Musical,0,12
Kevin Connolly,Entourage,Golden Globes,2009,Best Performance by an Actor in a Television Series - Comedy or Musical,0,12
Steve Carell,The Office,Golden Globes,2009,Best Performance by an Actor in a Television Series - Comedy or Musical,0,12
Tony Shalhoub,Monk,Golden Globes,2009,Best Performance by an Actor in a Television Series - Comedy or Musical,0,12
Tina Fey,30 Rock,Golden Globes,2009,Best Performance by an Actress in a Television Series - Comedy or Musical,1,12
America Ferrera,Ugly Betty,Golden Globes,2009,Best Performance by an Actress in a Television Series - Comedy or Musical,0,12
Christina Applegate,Samantha Who?,Golden Globes,2009,Best Performance by an Actress in a Television Series - Comedy or Musical,0,12
Debra Messing,The Starter Wife,Golden Globes,2009,Best Performance by an Actress in a Television Series - Comedy or Musical,0,12
Mary-Louise Parker,Weeds,Golden Globes,2009,Best Performance by an Actress in a Television Series - Comedy or Musical,0,12
Tom Wilkinson,John Adams,Golden Globes,2009,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,12
Blair Underwood,In Treatment,Golden Globes,2009,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Denis Leary,Recount,Golden Globes,2009,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Jeremy Piven,Entourage,Golden Globes,2009,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Neil Patrick Harris,How I Met Your Mother,Golden Globes,2009,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Laura Dern,Recount,Golden Globes,2009,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,12
Dianne Wiest,In Treatment,Golden Globes,2009,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Eileen Atkins,Cranford,Golden Globes,2009,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Melissa George,In Treatment,Golden Globes,2009,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
Rachel Griffiths,Brothers & Sisters,Golden Globes,2009,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,12
